Curso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Qui,2.9,6.8,6.2,4.1,5.6,4,6,7.4,6,4.1,8.1
Qui,2.4,5.1,5.1,7.2,5.1,2.1,5.3,7.9,5.1,5.2,9.5
Mat,0.4,4.2,3.7,6.7,6.2,4.5,7.6,8.3,3.6,5.1,7.4
Mat,8.7,4.5,5.6,4.3,5.5,1.8,6.2,7.4,4.9,4.3,9.1
Qui,0.5,5.6,4.5,6,6.6,3.8,6.9,8.3,6.1,5,6.3
Qui,7.4,4.3,4.4,5.8,5,3.1,6,7.7,5.9,4.2,6.9
Mat,6,4.2,6.2,5,4.3,4.3,7.1,7.1,6.6,5,8.8
Qui,1.8,7.1,4.8,4.5,5.1,5.3,8.1,7.9,4.2,4.2,5.6
Mat,5.2,5.7,5.9,6.1,5.4,3.5,8.6,7.8,5.9,4.7,9.7
Mat,1.2,4.2,5.9,4.6,5.8,3.8,6,8.4,4.6,5.6,7.2
Mat,5,6.8,4.4,4.7,3.4,2.9,5.8,7.6,4.7,5.4,5.9
Qui,5.6,3.9,5.5,5.7,4.3,3.9,6.3,8.4,3.9,6.2,8.5
Mat,1.3,5.1,4.9,4.6,5.3,4,6,7.8,5.4,3.8,7.4
Qui,7.7,3.5,4,6.1,5.3,5,7,8.1,4.6,5.8,5.3
Mat,6.2,4.1,5.4,4.5,5.8,3.7,6.7,7.7,4.4,6.2,6.5
Qui,6.9,6.1,7.2,4,3.4,5.6,6.2,8.4,4.7,5.3,6.3
Mat,4.5,3.8,4.7,3.4,3.8,3.5,6.1,8.2,2.4,5.8,8.5
Qui,7.9,6.4,3.6,7.3,4.7,2.3,7.9,8.3,4.6,4.2,9.6
Qui,4.8,5.4,5.1,5.9,6.5,3.2,7.9,8.1,6.3,4.9,8.4
Mat,6.1,6.4,5.3,3.6,3.5,4.4,5.8,8.3,5.1,4.1,7.4
